Title	 Link 
WeWork and Counterfeit Capitalism	https://mattstoller.substack.com/p/wework-and-counterfeit-capitalism?r=2&utm_campaign=post&utm_medium=web&utm_source=copy
A patent lawsuit against GNOME	https://lwn.net/Articles/800516/
A list of over 3k computer languages. Now with release year and category	https://codelani.com/lists/languages.html
Goodbye, Motherboard. Hello, Silicon-Interconnect Fabric	https://spectrum.ieee.org/computing/hardware/goodbye-motherboard-hello-siliconinterconnect-fabric
US will stay in global postal union	http://reuters.com/article/us-un-postal/u-n-postal-union-clinches-deal-to-keep-u-s-in-club-idUSKBN1WA247
Efficient GraphQL Queries in Ruby on Rails and Postgres	https://pganalyze.com/blog/efficient-graphql-queries-in-ruby-on-rails-and-postgres
Show HN: HTTP Mock – Intercept, debug and mock HTTP(S) with zero setup	https://httptoolkit.tech/mock/
Some tea bags may shed billions of microplastics per cup	https://www.cbc.ca/news/technology/tea-bags-plastic-study-mcgill-1.5295662
Employer health plans are getting pricier and skimpier	https://www.axios.com/2019-employer-coverage-workers-premiums-deductibles-ea2cbdf3-91bd-4b4d-9611-71fd72b1140c.html
A list of themes and starters for JAMstack sites	https://jamstackthemes.dev/
Neither, and New: Lessons from Uber and Vision Fund	https://stratechery.com/2019/neither-and-new-lessons-from-uber-and-vision-fund/
The Fine Art of Baloney Detection – Carl Sagan	https://fermatslibrary.com/s/the-fine-art-of-baloney-detection#email-newsletter
If You Run a Small Business, Park in the Back of the Parking Lot	https://skyclerk.com/blog/if-you-run-a-small-business-park-in-the-back-of-the-parking-lot
Reinvent Marketing Measurement – Survata (YC S12) Is Hiring Front-End Architects	https://www.survata.com/careers?gh_jid=4332683002
Trusted Types Help Prevent Cross-Site Scripting	https://developers.google.com/web/updates/2019/02/trusted-types
Goodhart’s Law: Are Academic Metrics Being Gamed?	https://thegradient.pub/over-optimization-of-academic-publishing-metrics/
Unbabel (YC W14) raises $60M Series C to become the world’s translation layer	https://techcrunch.com/2019/09/25/unbabel-gets-60m-for-its-blended-approach-to-business-translation/
50 ways to leak your data: apps’ circumvention of the Android permissions system	https://blog.acolyer.org/2019/09/25/50-ways-to-leak-your-data/
Gev – A lightweight, fast non-blocking TCP network library based on Reactor mode	https://github.com/Allenxuxu/gev
The Highest Suicide Rate in the World	https://www.nybooks.com/articles/2019/10/10/inuit-highest-suicide-rate/
Show HN: A Quantum Perceptron – First Steps in QML	https://qml.entropicalabs.io/
Every Company Is Becoming Software	https://www.confluent.io/blog/every-company-is-becoming-software
Exotic Physics Phenomenon Involving Time Reversal Observed for First Time	https://scitechdaily.com/exotic-physics-phenomenon-involving-time-reversal-observed-for-first-time/
WARP is here	https://blog.cloudflare.com/announcing-warp-plus/
Show HN: Watermill – Building event-driven applications easy way in Go	https://github.com/ThreeDotsLabs/watermill
Google Chrome Update Damages macOS File System	https://www.tomshardware.com/news/google-chrome-damages-macos-file-system,40473.html
Graal Autovectorization	https://github.com/oracle/graal/pull/1692
In Pittsburgh, a Bookstore Where ‘Freewheeling Curiosity’ Reigns	https://www.nytimes.com/2019/08/18/books/amazing-books-pittsburgh-bookstore.html
The largest offshore wind farm is nearly complete. It can power 1M homes	https://edition.cnn.com/2019/09/25/business/worlds-largest-wind-farm/index.html
Bike crash left Spokane man unconscious, so his Apple Watch called 911	https://www.seattletimes.com/seattle-news/bike-crash-left-spokane-man-unconscious-but-his-apple-watch-called-911
