title,excerpt,website,url,date_published 
Why Men Don’t Live as Long as Women, It’s the testosterone; don’t you know., getpocket.com, https://getpocket.com/explore/item/why-men-don-t-live-as-long-as-women, March 1  2017
Even More Evidence That We’re Eating All Wrong, Forget fat; it’s carbs that might stick it to your ticker., getpocket.com, https://getpocket.com/explore/item/even-more-evidence-that-we-re-eating-all-wrong, August 30  2017
The high hopes of the low-tech phone, Their challenge was relatively simple: build a minimalist phone someone might actually use., theverge.com, https://www.theverge.com/2019/9/4/20847717/light-phone-2-minimalist-features-design-keyboard-crowdfunding, September 4  2019
Research: Being Nice in a Negotiation Can Backfire, Should you be warmer or tougher? Friendlier or more aloof? Our recent research may provide the answer., hbr.org, https://hbr.org/2019/09/research-being-nice-in-a-negotiation-can-backfire, September 6  2019
Michael B. Jordan Is Redefining What It Means to Be a Movie Star, In a moment where it’s nearly impossible to predict where Hollywood is heading—and who can successfully draw in audiences—Jordan is as close as you can get to a sure thing., time.com, https://time.com/5667958/michael-b-jordan-just-mercy/, September 4  2019
The Rejection Lab, What can researching human responses to rejection tell us about ourselves?, gay.medium.com, https://gay.medium.com/the-rejection-lab-89c69d2babe0, September 4  2019
Kara Swisher on Ambition; Bragging; and Having a Baby at 56, "Bragging is different than saying what it is. When I suck at something; I say I suck at it. But I know what I’m good at.", thecut.com, https://www.thecut.com/2019/09/kara-swisher-on-ambition.html, September 5  2019
Searching for Adolfo, Adolfo Benegas and Eric Bender vanished without a trace on Aconcagua’s South Face in 1990. After 29 years of searching; Benegas’ brother has found plane wreckage; stranded climbers; other remains and even a haunting. What he hasn’t found are answers., rockandice.com, https://rockandice.com/features/searching-for-adolfo/, August 22  2019
What Makes "The Baby-Sitters Club" Endure?, More than a generation later; the books bring up not only a sense of nostalgia for today’s twenty–fortysomethings; but the books are reaching the next generation of young readers., bookriot.com, https://bookriot.com/2019/09/04/the-babysitters-club/, September 4  2019
How Kentucky Gambled for Hundreds of Millions of Dollars From a Broadband Program It Didn’t Qualify for, Former Gov. Steve Beshear’s administration was warned multiple times that its rural broadband bet wouldn’t get certain federal funds. Meet the officials and conflicted consultants who didn’t listen and doomed the plan., propublica.org, https://www.propublica.org/article/how-kentucky-gambled-for-hundreds-of-millions-of-dollars-from-a-broadband-program-it-didnt-qualify-for, September 4  2019
The Myth of Making It, If the most financially and critically successful artists don’t feel successful; maybe there’s something wrong with how we think about success., longreads.com, https://longreads.com/2019/09/06/the-myth-of-making-it/, September 6  2019
Xkcd Creator Randall Munroe on the Joys of Overthinking Everything, Including how to conduct an interview., slate.com, https://slate.com/culture/2019/09/xkcd-randall-munroe-interview-how-to-book-wikipedia.html, September 6  2019
The Rehab Racket: Investigating the high cost of addiction care, America is facing a harrowing opioid epidemic; one that kills thousands of people each year. But the rehab system that could help combat the crisis is failing., vox.com, https://www.vox.com/2019/9/6/20853284/drug-addiction-treatment-rehab-cost-vox, September 6  2019
Feel like you’re about to lose it? It could be a good time for a Meta-Moment, When we’re overwhelmed by emotions; we’re usually not our best selves. We may blow up; say hurtful things or burst into tears. But what if we had a tool we could use to turn down the temperature at those times?, ideas.ted.com, https://ideas.ted.com/feel-like-youre-about-to-lose-it-it-could-be-a-good-time-for-a-meta-moment/, September 6  2019
Céline Dion is Everywhere, At fifty-one; Dion is wrapping up her Vegas residency with a world tour; an album; and two movies in the works. Why has it taken forty years for the world’s most talented singer to finally become cool?, thewalrus.ca, https://thewalrus.ca/celine-dion-is-everywhere/, August 29  2019
When “stan” became a verb, A brief history of the term’s evolution., theoutline.com, https://theoutline.com/post/2425/when-stan-became-a-verb, September 8  2019
The Little-Known Muscle That's Probably Making Your Back Hurt, Read this for relief., menshealth.com, https://www.menshealth.com/health/a28843296/end-back-pain/, August 29  2019
How Can You Ask Your Boss for Flex Time? Experts Offer Their Best Tips, Knowing that you want flex time in your career and actually getting it are two different things. Here’s how to navigate the process., parade.com, https://parade.com/919191/korinmiller/how-does-flextime-work/, September 4  2019
Readers’ laundry tips and secrets for keeping clothes clean while traveling, Before you pack for that next trip; keep these 17 tips in mind., latimes.com, https://www.latimes.com/travel/story/2019-09-02/readers-laundry-tips-clean-clothes-traveling, September 4  2019
Why Some People Take Breakups Harder Than Others, Part of it depends on whether they believe personality is fixed or constantly changing., getpocket.com, https://getpocket.com/explore/item/why-some-people-take-breakups-harder-than-others, January 20  2016
The Case for Killing the Campfire, Outdoor tradition or dangerous; polluting; wasteful relic of the past?, getpocket.com, https://getpocket.com/explore/item/the-case-for-killing-the-campfire, October 19  2016
The Heart and the Bottle: A Tender Illustrated Fable of What Happens When We Deny Our Difficult Emotions, A gentle reminder of what we stand to lose when we lock away loss., brainpickings.org, https://getpocket.com/explore/item/the-heart-and-the-bottle-a-tender-illustrated-fable-of-what-happens-when-we-deny-our-difficult, May 14  2015
His Biggest Hit Sold More Copies Than Any of the Beatles’. So Why Haven’t You Heard of Him?, In a life bookended by tragedy; Prince Nico Mbarga poured joy into music; including the most popular song in African history. But his own story has never been told — until now., getpocket.com, https://getpocket.com/explore/item/his-biggest-hit-sold-more-copies-than-any-of-the-beatles-so-why-haven-t-you-heard-of-him, June 27  2017
Alienation Is Killing Americans and Japanese, People are increasingly finding themselves alone in old age; on both sides of the Pacific., getpocket.com, https://getpocket.com/explore/item/alienation-is-killing-americans-and-japanese, September 15  2017
Make Peace With Your Unlived Life, We all have a silent side to us; opportunities not taken; feelings never expressed. It’s important not to dwell on what could have been but also not to ignore those traits that make us who we are., getpocket.com, https://getpocket.com/explore/item/make-peace-with-your-unlived-life, December 21  2016
A California Dream, California’s third-largest city by area is an urban-planning disaster; a sprawl of empty grids that aspired to become a megacity—and failed. But as the desert works to reclaim the land; it’s become a mecca of another kind., getpocket.com, https://getpocket.com/explore/item/a-california-dream, August 26  2016
