title%excerpt%save_url%date_published 
She Leapt From a Moving Car to Escape Her Rapist. Then; She Waited 18 Years for an Arrest.% Anna Sattler’s rape kit sat untested since 2001 as Alaska’s backlog got worse. Now; an ex-Iditarod musher faces charges; and she’s speaking publicly about the attack for the first time.
% https://www.propublica.org/article/she-leapt-from-a-moving-car-to-escape-her-rapist-then-she-waited-18-years-for-an-arrest% Sept. 6  12:45 p.m. EDT
Medicare-for-All Is Not Medicare; and Not Really for All. So What Does It Actually Mean?% Some candidates use Medicare-for-all to establish themselves as bold progressives or moderate pragmatists. The Trump administration uses it as a point of attack. But voters don’t know what it actually means; and none of the candidates explain it.
% https://www.propublica.org/article/medicare-for-all-is-not-medicare-and-not-really-for-all-so-what-does-it-actually-mean% Sept. 6  1:28 p.m. EDT
How Amazon Hooked America On Fast Delivery While Avoiding Responsibility for Crashes% Our investigation found Amazon escapes responsibility for its role in deaths and serious injuries even though the company keeps a tight grip on how third-party delivery drivers do their jobs.
% https://features.propublica.org/amazon-delivery-crashes/how-amazon-hooked-america-on-fast-delivery-while-avoiding-responsibility-for-crashes% Sept. 5  2 a.m. EDT
We Reported on Troubled Prisons. Now; Officials and a Gang Have a Shared Goal: Reform.% Following our reporting; top Republicans and Democrats want to take a closer look at Mississippi’s prison system. Meanwhile; one gang says it has turned in more than 250 weapons to show it’s against violence.% https://www.propublica.org/article/we-reported-on-troubled-prisons-now-officials-and-a-gang-have-a-shared-goal-reform% Sept. 6  2 p.m. EDT
Lawmakers and Students Say Professors Who Sexually Harass Should Face Stronger Consequences% After NPR Illinois and ProPublica found that several University of Illinois at Urbana-Champaign professors who violated policies were allowed to quietly resign and take paid leave with their reputations intact; lawmakers called for reforms.% https://www.propublica.org/article/lawmakers-and-students-say-professors-who-sexually-harass-should-face-stronger-consequences% Sept. 5  2 p.m. EDT
Netflix Series Based on Our Work Explores Costs of Not Believing Rape Victims% The series; “Unbelievable;” draws from our  award-winning reporting with The Marshall Project and “This American Life.” % https://www.propublica.org/article/netflix-series-based-on-our-work-explores-costs-of-not-believing-rape-victims% Sept. 5  5 a.m. EDT
A Truck Delivering Amazon Holiday Packages. A Crash. A Family That Will Never Be the Same.% Two weeks shy of her 85th birthday; Telesfora Escamilla was struck and killed by a van delivering Amazon packages. The driver was acquitted. The family is suing Amazon.% https://www.propublica.org/article/truck-delivering-amazon-holiday-packages-fateful-crash-family-that-will-never-be-the-same% Sept. 5  1:59 a.m. EDT
His Mother Was Killed by a Van Making Amazon Deliveries. Here’s the Letter He Wrote to Jeff Bezos.% “I think this attitude of reckless speed stems from the top and trickles down;” Tyler Hayes wrote.% https://www.propublica.org/article/his-mother-was-killed-by-a-van-making-amazon-deliveries-heres-the-letter-he-wrote-to-jeff-bezos% Sept. 5  1:59 a.m. EDT
How Kentucky Gambled for Hundreds of Millions of Dollars From a Broadband Program It Didn’t Qualify for% Former Gov. Steve Beshear’s administration was warned multiple times that its rural broadband bet wouldn’t get certain federal funds. Meet the officials and conflicted consultants who didn’t listen and doomed the plan. 
% https://www.propublica.org/article/how-kentucky-gambled-for-hundreds-of-millions-of-dollars-from-a-broadband-program-it-didnt-qualify-for% Sept. 4  5 a.m. EDT
En una Disputa sobre Tutela; los Hijos de un Padre Hispanohablante se Quedarán con sus Padres de Acogida Eslovacohablantes% El caso es un ejemplo que pone en duda si el Departamento de Servicios para Niños y Familias de Illinois sirve adecuadamente a familias hispanohablantes y cumple con el decreto Burgos de la corte federal.% https://www.propublica.org/article/en-una-disputa-sobre-tutela-los-hijos-de-un-padre-hispanohablante-se-quedarán-con-sus-padres-de-acogida-eslovacohablantes% Sept. 3  1:54 p.m. CDT
Everything You Need to Play Baseball Is Made in China — and Getting Hit by Trump’s Tariffs% Baseball is America’s pastime; but prices on its China-made gear are about to rise as the trade war escalates. Golf; lacrosse; basketball and other sports will feel the pinch; too. 
% https://www.propublica.org/article/baseball-tariffs-everything-you-need-to-play-is-made-in-china% Sept. 3  12:30 p.m. EDT
ProPublica Wants Pitches for State Government Investigations. Apply for a Spot in Our Local Reporting Network.% ProPublica’s Local Reporting Network produces impactful accountability stories that wouldn’t be done otherwise. Now; we’re looking for seven partners to work with in 2020.% https://www.propublica.org/article/propublica-wants-pitches-for-state-government-investigations-apply-for-a-spot-in-our-local-reporting-network% Sept. 3  5 a.m. EDT
He Spent Years Infiltrating White Supremacist Groups. Here’s What He Has to Say About What’s Going on Now.% Michael German; a former federal agent; sees cause for praise and concern.% https://www.propublica.org/article/he-spent-years-infiltrating-white-supremacist-groups-heres-what-he-has-to-say-about-whats-going-on-now% Aug. 30  1:05 p.m. EDT
In Disputed Custody Case; Children of Spanish-Speaking Father Will Remain With Slovak-Speaking Foster Parents% The case is one example that questions whether the Illinois Department of Children and Family Services adequately serves Spanish-speaking families and lives up to the Burgos federal court consent decree.
% https://www.propublica.org/article/disputed-custody-case-children-of-spanish-speaking-father-will-remain-with-their-slovak-speaking-foster-parents% Aug. 29  6:19 p.m. CDT
The NRA Used Funds to Settle a Sexual Harassment Claim Against a Top Official — And Then He Was Accused Again% A top vendor complained it would “not tolerate” further contact between the official and its employees.% https://www.propublica.org/article/nra-wrestled-with-harassment-allegations-against-top-official% Aug. 28  5:45 p.m. EDT
Have You Worked for One of the Top Remote Call Centers? We'd Like to Hear From You% Do you do customer service for Intuit; Apple or another company? We want to learn more about work-from-home jobs at contractors like Sykes; Arise; Sitel or Concentrix.% https://www.propublica.org/getinvolved/have-you-worked-in-customer-service-intuit-apple-concentrix% Aug. 28  4 p.m. EDT
Watch Richard Sackler Deny His Family’s Role in the Opioid Crisis% Sackler testified in 2015 in a lawsuit brought by Kentucky against his family’s company; Purdue Pharma; which makes the painkiller OxyContin. We published the transcript in February. Now you can see the video. 
% https://www.propublica.org/article/watch-richard-sackler-deny-his-familys-role-in-the-opioid-crisis% Aug. 27  7 a.m. EDT
At the University of Illinois at Urbana-Champaign; Preserving the Reputations of Sexual Harassers% An administrator resigned amid sexual harassment accusations. Another college hired him. A professor was found to have stalked a coworker. She agreed to retire; then won a Fulbright grant. Campus leaders vow reforms; but many say it’s a long road.% https://www.propublica.org/article/university-of-illinois-urbana-champaign-sexual-harassment-professor-faculty% Aug. 27  6 a.m. EDT
Parents Gave Up Custody of Their Children to Help Them Get Financial Aid. Now; Some Are Abandoning That Idea.% Some families are frustrated about a public backlash; saying what they did was legal. They say the real problem is the cost of higher education.% https://www.propublica.org/article/college-financial-aid-guardianship-loophole-higher-education-illinois-families% Aug. 21  4 a.m. CDT
Elizabeth Warren Announces Plans to Help Heirs’ Property Owners% The Democratic presidential candidate cited a ProPublica investigation into black land loss in her proposal.% https://www.propublica.org/article/elizabeth-warren-announces-plans-to-help-heirs-property-owners% Aug. 20  5 a.m. EDT
